"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 10:05:57 SGT 2023","Wed Apr 12 10:06:08 SGT 2023","10668","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to zoom the map",""
"passed","Wed Apr 12 10:01:49 SGT 2023","Wed Apr 12 10:02:36 SGT 2023","47316","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify highlight border is removed when edit button is clicked in editmode.",""
"passed","Wed Apr 12 10:05:09 SGT 2023","Wed Apr 12 10:05:18 SGT 2023","8840","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify the new page pop up has cancel button",""
"passed","Wed Apr 12 10:02:36 SGT 2023","Wed Apr 12 10:03:27 SGT 2023","50307","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify widget is draggable",""
"failed","Wed Apr 12 10:04:22 SGT 2023","Wed Apr 12 10:04:46 SGT 2023","24789","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify on updating the widgets in grid, save button and revert changes button are enabled",""
"skipped","Wed Apr 12 10:04:46 SGT 2023","Wed Apr 12 10:04:46 SGT 2023","1","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify on clicking the save button, widgets are saved",""
"passed","Wed Apr 12 10:05:22 SGT 2023","Wed Apr 12 10:05:27 SGT 2023","5094","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify cancel button is enabled",""
"passed","Wed Apr 12 10:03:27 SGT 2023","Wed Apr 12 10:05:41 SGT 2023","134844","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify widgets in the widget list is disabled when widget does not fit the grid",""
"broken","Wed Apr 12 10:06:08 SGT 2023","Wed Apr 12 10:07:09 SGT 2023","60687","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to pan to the right side of the map",""
"skipped","Wed Apr 12 10:07:09 SGT 2023","Wed Apr 12 10:07:09 SGT 2023","1","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to pan to the top side of the map",""
"skipped","Wed Apr 12 10:04:46 SGT 2023","Wed Apr 12 10:04:46 SGT 2023","1","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify dragging the widget in the layout enables the save and revert changes button",""
"passed","Wed Apr 12 10:04:00 SGT 2023","Wed Apr 12 10:04:07 SGT 2023","7713","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify on selecting Default layout, kebeb menu shows only duplicate page and revert changes button",""
"passed","Wed Apr 12 10:05:18 SGT 2023","Wed Apr 12 10:05:22 SGT 2023","4376","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify the new page pop up has confirm button",""
"passed","Wed Apr 12 10:04:47 SGT 2023","Wed Apr 12 10:04:53 SGT 2023","6242","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify pop up shows 'New Page' as header",""
"skipped","Wed Apr 12 10:07:09 SGT 2023","Wed Apr 12 10:07:09 SGT 2023","1","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether search button is working correctly",""
"passed","Wed Apr 12 10:04:53 SGT 2023","Wed Apr 12 10:04:58 SGT 2023","4792","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify input box for new page is enabled by default",""
"passed","Wed Apr 12 10:00:52 SGT 2023","Wed Apr 12 10:00:57 SGT 2023","4451","setup","src\tests\auth-setup.ts","","","","authenticate",""
"passed","Wed Apr 12 10:04:07 SGT 2023","Wed Apr 12 10:04:15 SGT 2023","7590","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify for Default layout duplicate page button is enabled",""
"skipped","Wed Apr 12 10:07:09 SGT 2023","Wed Apr 12 10:07:09 SGT 2023","1","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify only specific layer is visible",""
"broken","Wed Apr 12 10:01:04 SGT 2023","Wed Apr 12 10:02:03 SGT 2023","59131","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify border is highlighted  when edit button is clicked",""
"passed","Wed Apr 12 10:05:41 SGT 2023","Wed Apr 12 10:05:57 SGT 2023","15907","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify new layout is created when the page name is entered and click on the confirm button",""
"passed","Wed Apr 12 10:04:58 SGT 2023","Wed Apr 12 10:05:04 SGT 2023","5444","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify input box for new page is empty",""
"skipped","Wed Apr 12 10:07:09 SGT 2023","Wed Apr 12 10:07:09 SGT 2023","1","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether all custom layers are disabled successfully",""
"passed","Wed Apr 12 10:03:53 SGT 2023","Wed Apr 12 10:04:00 SGT 2023","6581","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify layout with name Default is shown",""
"skipped","Wed Apr 12 10:07:09 SGT 2023","Wed Apr 12 10:07:09 SGT 2023","2","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to pan to the left side of the map",""
"skipped","Wed Apr 12 10:07:09 SGT 2023","Wed Apr 12 10:07:09 SGT 2023","1","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to pan to the bottom side of the map",""
